speed_bin,speed_kmh,acceleration_fraction_g,half_phase_time_s,accel_decel_distance_km,accel_decel_distance_fraction,cruise_time_s,cruise_only_time_s,total_idealized_time_s,acceleration_time_overhead_fraction,profile_regime
subsonic_reference,900.0,0.05,509.8581064889641,127.46452662224102,0.01342777812424847,37460.541893511036,37970.4,38480.25810648897,0.013427778124248516,accelerate-cruise-decelerate
subsonic_reference,900.0,0.1,254.92905324448205,63.73226331112051,0.006713889062124235,37715.47094675552,37970.4,38225.32905324449,0.006713889062124354,accelerate-cruise-decelerate
subsonic_reference,900.0,0.2,127.46452662224102,31.866131655560256,0.0033569445310621176,37842.93547337776,37970.4,38097.86452662224,0.0033569445310619853,accelerate-cruise-decelerate
Concorde_historical,2160.0,0.05,1223.659455573514,734.1956733441083,0.07734400199567118,14597.340544426484,15821.0,17044.659455573514,0.07734400199567118,accelerate-cruise-decelerate
Concorde_historical,2160.0,0.1,611.829727786757,367.09783667205414,0.03867200099783559,15209.170272213243,15821.0,16432.829727786757,0.03867200099783559,accelerate-cruise-decelerate
Concorde_historical,2160.0,0.2,305.9148638933785,183.54891833602707,0.019336000498917795,15515.085136106623,15821.0,16126.91486389338,0.01933600049891791,accelerate-cruise-decelerate
Mach_3_conceptual_bin,3240.0,0.05,1835.4891833602708,1651.940265024244,0.17402400449026018,8711.844149973062,10547.333333333334,12382.822516693603,0.17402400449025995,accelerate-cruise-decelerate
Mach_3_conceptual_bin,3240.0,0.1,917.7445916801354,825.970132512122,0.08701200224513009,9629.588741653197,10547.333333333334,11465.077925013467,0.0870120022451299,accelerate-cruise-decelerate
Mach_3_conceptual_bin,3240.0,0.2,458.8722958400677,412.985066256061,0.043506001122565044,10088.461037493265,10547.333333333334,11006.2056291734,0.04350600112256495,accelerate-cruise-decelerate
Mach_5_conceptual_bin,5400.0,0.05,3059.1486389337847,4588.722958400677,0.4834000124729449,3269.2513610662154,6328.4,9387.548638933786,0.4834000124729452,accelerate-cruise-decelerate
Mach_5_conceptual_bin,5400.0,0.1,1529.5743194668923,2294.3614792003386,0.24170000623647245,4798.8256805331075,6328.4,7857.974319466892,0.24170000623647245,accelerate-cruise-decelerate
Mach_5_conceptual_bin,5400.0,0.2,764.7871597334462,1147.1807396001693,0.12085000311823622,5563.612840266554,6328.4,7093.187159733446,0.12085000311823622,accelerate-cruise-decelerate
