speed_bin,speed_kmh,acceleration_fraction_g,speed_only_time_ratio_vs_subsonic,acceleration_adjusted_time_ratio_vs_subsonic,speed_only_saved_fraction_vs_subsonic,acceleration_adjusted_saved_fraction_vs_subsonic,saved_fraction_lost_to_acceleration,candidate_acceleration_overhead_fraction
subsonic_reference,900.0,0.05,1.0,1.0,0.0,0.0,0.0,0.013427778124248516
Concorde_historical,2160.0,0.05,0.41666666666666663,0.4429455594711631,0.5833333333333334,0.5570544405288369,0.026278892804496468,0.07734400199567118
Mach_3_conceptual_bin,3240.0,0.05,0.2777777777777778,0.321796763483909,0.7222222222222222,0.678203236516091,0.04401898570613122,0.17402400449025995
Mach_5_conceptual_bin,5400.0,0.05,0.16666666666666666,0.2439575278563621,0.8333333333333334,0.7560424721436378,0.07729086118969544,0.4834000124729452
subsonic_reference,900.0,0.1,1.0,1.0,0.0,0.0,0.0,0.006713889062124354
Concorde_historical,2160.0,0.1,0.41666666666666663,0.42989374152665333,0.5833333333333334,0.5701062584733467,0.013227074859986698,0.03867200099783559
Mach_3_conceptual_bin,3240.0,0.1,0.2777777777777778,0.2999340544340019,0.7222222222222222,0.7000659455659981,0.022156276656224105,0.0870120022451299
Mach_5_conceptual_bin,5400.0,0.1,0.16666666666666666,0.2055698280195687,0.8333333333333334,0.7944301719804313,0.03890316135290203,0.24170000623647245
subsonic_reference,900.0,0.2,1.0,1.0,0.0,0.0,0.0,0.0033569445310619853
Concorde_historical,2160.0,0.2,0.41666666666666663,0.42330233109585774,0.5833333333333334,0.5766976689041423,0.006635664429191113,0.01933600049891791
Mach_3_conceptual_bin,3240.0,0.2,0.2777777777777778,0.2888929803790557,0.7222222222222222,0.7111070196209444,0.011115202601277907,0.04350600112256495
Mach_5_conceptual_bin,5400.0,0.2,0.16666666666666666,0.18618332675252255,0.8333333333333334,0.8138166732474774,0.019516660085855897,0.12085000311823622
