scenario,load_factor,fuel_multiplier,speed_multiplier,seat_capacity_multiplier,modern_benchmark_multiplier,historical_proxy_co2_ratio_vs_modern,required_reduction_percent_to_match
baseline,1.0,1.0,1.0,1.0,1.0,3.017384477843612,66.85871464697615
baseline,0.8,1.0,1.0,1.0,1.0,3.7717305973045154,73.48697171758093
baseline,0.6,1.0,1.0,1.0,1.0,5.028974129739354,80.1152287881857
fuel_minus_10pct,1.0,0.9,1.0,1.0,1.0,2.7156460300592515,63.17634960775129
fuel_minus_10pct,0.8,0.9,1.0,1.0,1.0,3.394557537574064,70.54107968620103
fuel_minus_10pct,0.6,0.9,1.0,1.0,1.0,4.526076716765418,77.90580976465077
fuel_plus_10pct,1.0,1.1,1.0,1.0,1.0,3.3191229256279735,69.87155876997832
fuel_plus_10pct,0.8,1.1,1.0,1.0,1.0,4.148903657034967,75.89724701598266
fuel_plus_10pct,0.6,1.1,1.0,1.0,1.0,5.531871542713289,81.92293526198699
speed_minus_10pct,1.0,1.0,0.9,1.0,1.0,3.352649419826237,70.17284318227854
speed_minus_10pct,0.8,1.0,0.9,1.0,1.0,4.190811774782796,76.13827454582285
speed_minus_10pct,0.6,1.0,0.9,1.0,1.0,5.587749033043727,82.10370590936714
speed_plus_10pct,1.0,1.0,1.1,1.0,1.0,2.743076798039648,63.54458611167377
speed_plus_10pct,0.8,1.0,1.1,1.0,1.0,3.4288459975495598,70.83566888933902
speed_plus_10pct,0.6,1.0,1.1,1.0,1.0,4.571794663399413,78.12675166700427
seats_minus_10pct,1.0,1.0,1.0,0.9,1.0,3.352649419826237,70.17284318227854
seats_minus_10pct,0.8,1.0,1.0,0.9,1.0,4.190811774782794,76.13827454582282
seats_minus_10pct,0.6,1.0,1.0,0.9,1.0,5.5877490330437265,82.10370590936714
seats_plus_10pct,1.0,1.0,1.0,1.1,1.0,2.7430767980396475,63.54458611167377
seats_plus_10pct,0.8,1.0,1.0,1.1,1.0,3.4288459975495593,70.83566888933902
seats_plus_10pct,0.6,1.0,1.0,1.1,1.0,4.571794663399413,78.12675166700427
benchmark_minus_10pct,1.0,1.0,1.0,1.0,0.9,3.352649419826236,70.17284318227854
benchmark_minus_10pct,0.8,1.0,1.0,1.0,0.9,4.190811774782795,76.13827454582284
benchmark_minus_10pct,0.6,1.0,1.0,1.0,0.9,5.587749033043727,82.10370590936714
benchmark_plus_10pct,1.0,1.0,1.0,1.0,1.1,2.743076798039647,63.54458611167377
benchmark_plus_10pct,0.8,1.0,1.0,1.0,1.1,3.4288459975495593,70.83566888933902
benchmark_plus_10pct,0.6,1.0,1.0,1.0,1.1,4.571794663399412,78.12675166700427
all_favorable_10pct,1.0,0.9,1.1,1.1,1.1,2.040305056393126,50.98772132791696
all_favorable_10pct,0.8,0.9,1.1,1.1,1.1,2.5503813204914074,60.79017706233356
all_favorable_10pct,0.6,0.9,1.1,1.1,1.1,3.4005084273218773,70.5926327967502
all_adverse_10pct,1.0,1.1,0.9,0.9,0.9,4.552980693591184,78.0363663433142
all_adverse_10pct,0.8,1.1,0.9,0.9,0.9,5.691225866988981,82.42909307465136
all_adverse_10pct,0.6,1.1,0.9,0.9,0.9,7.588301155985309,86.82181980598853
