speed_bin,mach,nominal_speed_kmh,gamma,static_temperature_K,derived_speed_kmh
subsonic_reference,0.85,900.0,1.3,216.65,870.0640508434423
subsonic_reference,0.85,900.0,1.3,250.35,935.2886758792176
subsonic_reference,0.85,900.0,1.4,216.65,902.9081363947276
subsonic_reference,0.85,900.0,1.4,250.35,970.5949286268707
Concorde_historical,2.0,2160.0,1.3,216.65,2047.2095313963348
Concorde_historical,2.0,2160.0,1.3,250.35,2200.679237362865
Concorde_historical,2.0,2160.0,1.4,216.65,2124.489732693477
Concorde_historical,2.0,2160.0,1.4,250.35,2283.7527732396957
Mach_3_conceptual_bin,3.0,3240.0,1.3,216.65,3070.8142970945023
Mach_3_conceptual_bin,3.0,3240.0,1.3,250.35,3301.0188560442975
Mach_3_conceptual_bin,3.0,3240.0,1.4,216.65,3186.7345990402155
Mach_3_conceptual_bin,3.0,3240.0,1.4,250.35,3425.6291598595435
Mach_5_conceptual_bin,5.0,5400.0,1.3,216.65,5118.023828490837
Mach_5_conceptual_bin,5.0,5400.0,1.3,250.35,5501.698093407163
Mach_5_conceptual_bin,5.0,5400.0,1.4,216.65,5311.224331733692
Mach_5_conceptual_bin,5.0,5400.0,1.4,250.35,5709.381933099239
