table,row_key,max_absolute_delta,pass
speed,subsonic_reference|1.3|216.65,0.0,True
speed,subsonic_reference|1.3|250.35,0.0,True
speed,subsonic_reference|1.4|216.65,0.0,True
speed,subsonic_reference|1.4|250.35,0.0,True
speed,Concorde_historical|1.3|216.65,0.0,True
speed,Concorde_historical|1.3|250.35,0.0,True
speed,Concorde_historical|1.4|216.65,0.0,True
speed,Concorde_historical|1.4|250.35,0.0,True
speed,Mach_3_conceptual_bin|1.3|216.65,0.0,True
speed,Mach_3_conceptual_bin|1.3|250.35,0.0,True
speed,Mach_3_conceptual_bin|1.4|216.65,0.0,True
speed,Mach_3_conceptual_bin|1.4|250.35,0.0,True
speed,Mach_5_conceptual_bin|1.3|216.65,0.0,True
speed,Mach_5_conceptual_bin|1.3|250.35,0.0,True
speed,Mach_5_conceptual_bin|1.4|216.65,0.0,True
speed,Mach_5_conceptual_bin|1.4|250.35,0.0,True
acceleration,subsonic_reference|0.05,0.0,True
acceleration,subsonic_reference|0.1,0.0,True
acceleration,subsonic_reference|0.2,0.0,True
acceleration,Concorde_historical|0.05,0.0,True
acceleration,Concorde_historical|0.1,0.0,True
acceleration,Concorde_historical|0.2,0.0,True
acceleration,Mach_3_conceptual_bin|0.05,0.0,True
acceleration,Mach_3_conceptual_bin|0.1,0.0,True
acceleration,Mach_3_conceptual_bin|0.2,0.0,True
acceleration,Mach_5_conceptual_bin|0.05,0.0,True
acceleration,Mach_5_conceptual_bin|0.1,0.0,True
acceleration,Mach_5_conceptual_bin|0.2,0.0,True
