gamma_scenario,mach_bin,ideal_total_to_static_temperature_ratio,ideal_total_temperature_low_K,ideal_total_temperature_high_K
1.3,0.85,1.108375,240.12944375000004,277.48168125
1.3,1.0,1.15,249.14749999999998,287.9025
1.3,1.5,1.3375,289.76937499999997,334.843125
1.3,2.0,1.6,346.64000000000004,400.56
1.3,3.0,2.35,509.12750000000005,588.3225
1.3,5.0,4.75,1029.0875,1189.1625
1.4,0.85,1.1444999999999999,247.95592499999998,286.52557499999995
1.4,1.0,1.2,259.98,300.41999999999996
1.4,1.5,1.45,314.1425,363.0075
1.4,2.0,1.7999999999999998,389.96999999999997,450.62999999999994
1.4,3.0,2.8,606.62,700.9799999999999
1.4,5.0,5.999999999999999,1299.8999999999999,1502.0999999999997
